Abandonment Rate,Flooding Rate,"Cumulative MtCO2e, 2020-2050"
6.2,58,223.9241116
6.2,59,218.8333972
6.2,60,213.7426827
6.3,40,320.6466
6.3,41,315.4737773
6.3,42,310.3009546
6.3,43,305.1281318
6.3,44,299.9553091
6.3,45,294.7824864
6.3,46,289.6096636
6.3,47,284.4368409
6.3,48,279.2640182
6.3,49,274.0911954
6.3,50,268.9183727
6.3,51,263.74555
6.3,52,258.5727272
6.3,53,253.3999045
6.3,54,248.2270818
6.3,55,243.054259
6.3,56,237.8814363
6.3,57,232.7086135
6.3,58,227.5357908
6.3,59,222.3629681
6.3,60,217.1901453
6.4,40,325.7362286
6.4,41,320.4812976
6.4,42,315.2263666
6.4,43,309.9714355
6.4,44,304.7165045
6.4,45,299.4615735
6.4,46,294.2066424
6.4,47,288.9517114
6.4,48,283.6967804
6.4,49,278.4418493
6.4,50,273.1869183
6.4,51,267.9319873
6.4,52,262.6770562
6.4,53,257.4221252
6.4,54,252.1671942
6.4,55,246.9122631
6.4,56,241.6573321
6.4,57,236.4024011
6.4,58,231.14747
6.4,59,225.892539
6.4,60,220.637608
6.5,40,330.8258572
6.5,41,325.4888179
6.5,42,320.1517785
6.5,43,314.8147392
6.5,44,309.4776999
6.5,45,304.1406605
6.5,46,298.8036212
6.5,47,293.4665819
6.5,48,288.1295425
6.5,49,282.7925032
6.5,50,277.4554639
6.5,51,272.1184246
6.5,52,266.7813852
6.5,53,261.4443459
6.5,54,256.1073066
6.5,55,250.7702672
6.5,56,245.4332279
6.5,57,240.0961886
6.5,58,234.7591492
6.5,59,229.4221099
6.5,60,224.0850706
6.6,40,335.9154858
6.6,41,330.4963381
6.6,42,325.0771905
6.6,43,319.6580429
6.6,44,314.2388953
6.6,45,308.8197476
6.6,46,303.4006
6.6,47,297.9814524
6.6,48,292.5623047
6.6,49,287.1431571
6.6,50,281.7240095
6.6,51,276.3048619
6.6,52,270.8857142
6.6,53,265.4665666
6.6,54,260.047419
6.6,55,254.6282713
6.6,56,249.2091237
6.6,57,243.7899761
6.6,58,238.3708285
6.6,59,232.9516808
6.6,60,227.5325332
6.7,40,341.0051143
6.7,41,335.5038584
6.7,42,330.0026025
6.7,43,324.5013466
6.7,44,319.0000906
6.7,45,313.4988347
6.7,46,307.9975788
6.7,47,302.4963229
6.7,48,296.9950669
6.7,49,291.493811
6.7,50,285.9925551
6.7,51,280.4912992
6.7,52,274.9900432
6.7,53,269.4887873
6.7,54,263.9875314
6.7,55,258.4862755
6.7,56,252.9850195
6.7,57,247.4837636
6.7,58,241.9825077
6.7,59,236.4812518
6.7,60,230.9799958
6.8,40,346.0947429
6.8,41,340.5113787
6.8,42,334.9280145
6.8,43,329.3446502
6.8,44,323.761286
6.8,45,318.1779218
